appid,action,adventure,base_building,battle_royale,card_game,cartoon,casual,co_op,competitive,crafting,exploration,fps,fantasy,fighting,moba,massively_multiplayer,open_world,puzzle,rpg,rts,racing,realistic,relaxing,simulation,singleplayer,sports,strategy,survival,tactical,turn_based,","
6300,0,144,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,41,0,0,0,0,0,51,0,0,0,0,0,","
6310,25,211,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,30,29,0,0,0,0,0,48,0,0,0,0,0,","
6370,59,0,0,0,0,0,0,0,10,0,0,0,0,0,54,40,0,0,22,0,0,0,0,0,0,0,0,0,0,0,","
6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,36,25,0,59,0,18,0,","
6510,76,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
6550,174,44,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,","
6600,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
6800,62,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,9,0,78,0,57,0,","
6810,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,41,0,33,0,","
6830,74,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,103,0,91,0,","
6840,55,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,62,0,49,0,","
6850,113,15,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,","
6860,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,139,0,30,0,0,0,","
6870,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,26,0,0,0,","
6880,124,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,48,0,0,0,0,0,","
6900,104,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,","
6910,377,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,683,0,0,0,0,0,344,0,0,0,0,0,","
6920,118,9,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,110,0,0,0,0,0,88,0,0,0,0,0,","
6980,110,46,0,0,0,0,0,0,0,0,0,0,52,0,0,0,20,0,6,0,0,0,0,0,51,0,0,0,0,0,","
7000,126,128,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,65,0,0,0,0,0,0,41,0,0,0,0,0,","
7010,35,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
7020,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
7110,59,27,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,159,0,0,0,0,0,63,0,0,0,0,0,","
7200,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,60,0,0,0,0,0,","
7210,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,","
7510,98,64,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,66,0,0,0,0,0,32,0,0,0,0,0,","
7520,50,62,0,0,0,0,0,64,0,61,92,0,146,0,0,0,195,0,249,0,0,0,0,0,88,0,0,0,0,0,","
7530,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,","
7600,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,26,0,101,0,0,0,","
7610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,45,0,0,0,","
7620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,0,57,0,0,0,","
7650,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,88,0,51,57,","
7660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,78,0,43,43,","
7670,819,333,0,0,0,0,0,0,0,0,0,1072,0,0,0,0,0,0,421,0,0,0,0,0,731,0,0,0,0,0,","
7760,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,93,0,202,0,117,123,","
7770,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,","
7830,40,0,0,0,0,0,0,40,0,0,0,9,0,0,0,0,0,0,0,88,0,56,0,38,32,0,183,0,77,0,","
7860,54,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
7940,447,0,0,0,0,0,0,78,59,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,","
8000,133,132,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,81,0,0,0,0,0,0,41,0,0,0,0,0,","
8080,96,9,0,0,0,0,0,38,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,","
8140,134,155,0,0,0,0,0,0,0,0,35,0,0,0,0,0,7,71,0,0,0,0,0,0,53,0,0,0,0,0,","
8170,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,36,0,0,0,49,18,0,82,0,0,0,","
8190,1121,625,0,0,0,0,0,178,0,0,380,0,0,0,0,89,1334,0,0,0,0,0,0,0,521,0,0,0,0,0,","
8200,23,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,","
8210,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8220,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8230,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8240,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8250,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8260,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8270,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8280,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8290,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
8340,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,","
8400,13,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,","
8500,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,380,0,293,0,0,0,0,125,0,0,179,0,108,0,","
8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,71,20,22,0,0,0,0,","
